Index,SongName,AlbumName
210,"When They Come for Me - Live from Paris, 2010",A Thousand Suns Live Around the World
211,"Jornada Del Muerto - Live from Hamburg, 2011",A Thousand Suns Live Around the World
212,"Waiting for the End - Live from Berlin, 2010",A Thousand Suns Live Around the World
213,"Blackout - Live from Hamburg, 2011",A Thousand Suns Live Around the World
214,"Wretches and Kings - Live from Las Vegas, 2011",A Thousand Suns Live Around the World
215,"Iridescent - Live from Paris, 2010",A Thousand Suns Live Around the World
216,"The Catalyst - Live from Paris, 2010",A Thousand Suns Live Around the World
217,"The Messenger - Live from Las Vegas, 2011",A Thousand Suns Live Around the World
218,"Wake - Live from Taipei, 2007",Minutes to Midnight Live Around the World
219,"Given Up - Live from Taipei, 2009",Minutes to Midnight Live Around the World
220,"Leave Out All The Rest - Live from Frankfurt, 2008",Minutes to Midnight Live Around the World
221,"Bleed It Out - Live from Melbourne, 2010",Minutes to Midnight Live Around the World
222,"Shadow of the Day - Live from Melbourne, 2010",Minutes to Midnight Live Around the World
223,"What I've Done - Live from New York, 2008",Minutes to Midnight Live Around the World
224,"Hands Held High - Live from Osaka, 2007",Minutes to Midnight Live Around the World
225,"No More Sorrow - Live from Taipei, 2009",Minutes to Midnight Live Around the World
226,"Valentine's Day - Live from Amnéville, 2008",Minutes to Midnight Live Around the World
227,"In Between - Live from Paris, 2008",Minutes to Midnight Live Around the World
228,"In Pieces - Live from Koln, 2008",Minutes to Midnight Live Around the World
229,"The Little Things Give You Away - Live from Shanghai, 2007",Minutes to Midnight Live Around the World
230,"Don't Stay - Live in Shanghai, 2007",Meteora Live Around the World
231,"Somewhere I Belong - Live in Koln, 2008",Meteora Live Around the World
232,"Lying from You - Live in New York, 2008",Meteora Live Around the World
233,"Faint - Live in Hamburg, 2011",Meteora Live Around the World
234,"Breaking the Habit - Live in Hamburg, 2011",Meteora Live Around the World
235,"From the Inside - Live in Sydney, 2010",Meteora Live Around the World
236,"Numb - Live in New York, 2008",Meteora Live Around the World
237,"Papercut - Live from Paris, 2010",Hybrid Theory Live Around the World
238,"One Step Closer - Live from Frankfurt, 2008",Hybrid Theory Live Around the World
239,"Points of Authority - Live from Sidney, 2007",Hybrid Theory Live Around the World
