"postTitle","postDescription","text","likesCount","facebookUrl"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the 2 page menu!","8","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Fact","3","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"I can’t say for sure as I was 2 but later it was long","3","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Come to Myrtle Beach, SC","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Fiction.  Even when Covid and the resulting supply chain problems struck, the abridged menu was still 47 pages long…😆","3","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"True?","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"True!","2","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Bring back the pork belly sliders","4","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Fact","3","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
"FACTory or Fiction? Our original menu in 1977 was a whopping two pages long.",,"Fact","4","https://www.facebook.com/thecheesecakefactory/posts/pfbid0piPz22d8ofdfSyK7bBsgQcp4m2C1r5LNftfjUnmTPVk7ELE7gHQj9x6a7ZZdNQAkl?__cft__[0]=AZUmRjBIDz0QZnFDPWQqMUi4ucPnvcrV9VhUK3HQl9QfzcprPx0i3c5ohPFsN6Y22MXqa2t398PpCN3RmGCYIAeUi17Str0uFeMoh1tZwEz1NeF_Za7jHf3K6V-OCS0jOc4UMlbcL0pHEhNP_Pp67XYdvtAMaDYMhyc54sP74bL9tCcKKJvAmvpg9NVKPDBAXASvr1jy2pz82YNxyFUrng_5&__tn__=%2CO%2CP-R"
