Index,Index,text,likesCount,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader Negative Polarity Score,Vader Neutral Polarity Score,Vader Positive Polarity Score,Vader Compound Polarity Score
63,63,"Letitia 'Teecee Bunny' Greene Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0,0.38,0.55,0.0,0.694,0.306,0.9856
64,64,"Letitia 'Teecee Bunny' Greene 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0,1.0,0.3,0.0,0.94,0.06,0.6369
65,65,"Dev P Degges 😍I'm always happy to see what you share here on Facebook, but we're not friends yet, I've tried sending you a request several times but it doesn't go through. I would be so happy if you can just click on my profile and send me a request, but if you find this message embarrassing, please forgive my manners, have a safe day,thank you and stay blessed 🌹🌺💙",0,0.525,0.625,0.064,0.62,0.316,0.9807
66,66,"Dev P Degges I always enjoy what you share here on Facebook but we're not friends yet, I've tried several times to send you request but is not going through. Do you mind trying from your end, I'll be glad to be friends with you. If you find this message embarrassing, please pardon my manners🙏🌹🌹....Thank you",0,0.3,0.5,0.088,0.68,0.232,0.8756
67,67,"Dev P Degges Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0,0.38,0.55,0.0,0.691,0.309,0.9856
68,68,"Dev P Degges God answers our prayers In different ways, GOD change my life for good  through binary option trade  with the help of Mr George Paltan, His trading techniques are so unique ...Click the link below to contact Him and change your financial status
📥📥📥
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0,0.26875,0.55,0.0,0.823,0.177,0.8602
69,69,"Tina Little Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",0,0.2854166666666667,0.5416666666666666,0.0,0.692,0.308,0.9848
70,70,"Tina Little 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",0,0.40625,0.4,0.0,0.938,0.062,0.6369
71,71,"Linda Keefer Dear friend 👋 ,we have created a Golden Retriever 🥰 group to showcase your Heathy Golden Retriever For Adoption And More which is created for us 🐾 to make this breed known to the world, for adoption for all lovers who don't have one and also for the sharing of lovely 😍 Golden retriever pictures
👇👇👇⬇️⬇️⬇️
https://facebook.com/groups/721998266391863/",1,0.38,0.55,0.0,0.688,0.312,0.9856
72,72,"Linda Keefer 𝐈𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡 George Paltan , 𝐡𝐚𝐬 𝐛𝐫𝐨𝐮𝐠𝐡𝐭 𝐦𝐞 𝐚𝐧𝐝 𝐦𝐲 𝐟𝐚𝐦𝐢𝐥𝐲 𝐬𝐨 𝐦𝐮𝐜𝐡 𝐣𝐨𝐲, 𝐈'𝐯𝐞 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 𝐦𝐮𝐜𝐡 𝐫𝐞𝐭𝐮𝐫𝐧𝐬 𝐟𝐫𝐨𝐦 𝐦𝐲 𝐥𝐢𝐭𝐭𝐥𝐞 𝐟𝐮𝐧𝐝𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐞𝐝 𝐚𝐧𝐝 𝐈'𝐦 𝐭𝐡𝐚𝐧𝐤𝐟𝐮𝐥 𝐚𝐧𝐝 𝐈 𝐚𝐝𝐯𝐢𝐜𝐞 𝐞𝐯𝐞𝐫𝐲𝐨𝐧𝐞 𝐭𝐨 𝐢𝐧𝐯𝐞𝐬𝐭 𝐰𝐢𝐭𝐡 him He's's the best.
👇👇👇👇👇👇
https://www.facebook.com/george.paltan.5
https://www.facebook.com/george.paltan.5",1,1.0,0.3,0.0,0.938,0.062,0.6369
