Index,search_keyword,url,name,title,description,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader Negative Polarity Score,Vader Neutral Polarity Score,Vader Positive Polarity Score,Vader Compound Polarity Score,Flesch Reading Ease Score,Gunning_Fog Score
20,tim gunn,https://i.pinimg.com/474x/62/9c/13/629c1324a17ff7fde14432e9afb9e156.jpg,629c1324a17ff7fde14432e9afb9e156.jpg,Tim Gunn,“Project Runway” star Tim Gunn drops truth bombs on fashion’s divas.,0.0,0.0,0.0,0.813,0.187,0.3182,85.69,4.4
21,tim gunn,https://i.pinimg.com/474x/4f/76/83/4f7683bc20f5727127c3b333607a7f74.jpg,4f7683bc20f5727127c3b333607a7f74.jpg,Tim Gunn takes aim at fashion industry for lack of plus-size clothing,Tim Gunn takes aim at the fashion industry for its lack of plus-size clothing.,0.0,0.0,0.15,0.85,0.0,-0.3182,74.19,8.46
22,tim gunn,https://i.pinimg.com/474x/51/9c/aa/519caaa6bb59367d922524b1572b2e19.jpg,519caaa6bb59367d922524b1572b2e19.jpg,Tim Gunn: Designers refuse to make clothes to fit American women. It’s a disgrace.,"Far more women in this country wear a size 16 than a size 6, but the industry seems not to have noticed.",0.3,0.75,0.0,1.0,0.0,0.0,82.99,10.62
23,tim gunn,https://i.pinimg.com/474x/25/31/dd/2531ddd485fd81bf1ec4206fc4a081c1--tim-gunn-plus-size-clothing.jpg,2531ddd485fd81bf1ec4206fc4a081c1--tim-gunn-plus-size-clothing.jpg,Tim Gunn Finds It 'Repugnant' That Designers Have 'Absolutely No Interest' in Designing Plus Size Clothing,"Thanks to Project Runway, Tim Gunn kind of feels like the fashion industry's favorite uncle: Incredibly kind, not afraid to be honest with you when you need it, a cheerleader in the workroom with his famous catchphrase, ""Make it work."" But even Gunn knows that it's hard to ""make it work"" when there's so little to work with--an issue that's currently facing the plus size fashion community.",0.2820833333333333,0.7241666666666667,0.022,0.819,0.159,0.7933,54.39,16.39
24,tim gunn,https://i.pinimg.com/474x/fa/52/ba/fa52ba74bb44cab1f61da0f6657ee5f7--tim-gunn-man-men.jpg,fa52ba74bb44cab1f61da0f6657ee5f7--tim-gunn-man-men.jpg,Fashion Fridays - Getting Lucky with Tim Gunn,"4 min read Alright all you denim-loving Denverites, get excited because you’re about to get lucky! Tomorrow, beginning at 11am, Lucky Brand in Park Meadows mall will be hosting fashion expert extraordinaire, Tim Gunn. If you make a purchase of $100 or more, you will meet and be professionally photographed with him. Additionally, you will […]",0.345,0.6033333333333334,0.0,0.835,0.165,0.8516,65.93,7.7
25,tim gunn,https://i.pinimg.com/474x/d5/43/0c/d5430c097238d8c609e4abf05a401b92--project-runway-tim-gunn.jpg,d5430c097238d8c609e4abf05a401b92--project-runway-tim-gunn.jpg,The Knot - Your Personal Wedding Planner,"Everything you need to plan your wedding, literally! Wedding dresses, planning tools, wedding ideas, inspiration, photos, plus the best wedding vendors.",1.0,0.3,0.0,0.707,0.293,0.8356,43.9,8.01
26,tim gunn,https://i.pinimg.com/474x/ae/4f/70/ae4f70989fbd1a3838c0b539b10a2204--tim-gunn-vegan-fashion.jpg,ae4f70989fbd1a3838c0b539b10a2204--tim-gunn-vegan-fashion.jpg,Tim Gunn xox: A fashion show at Stanford.,One of the coolest things about living in the Bay Area is being able to participate in the attention that is given to us by the Fashion & Beauty …,0.5,0.625,0.0,0.884,0.116,0.5859,59.98,12.63
27,tim gunn,https://i.pinimg.com/474x/63/d8/71/63d871cfded837e4c208f03796ad77e8--tim-gunn-project-runway.jpg,63d871cfded837e4c208f03796ad77e8--tim-gunn-project-runway.jpg,Third Annual 100 Most Eligible Bachelors,Vote for the guys you would most want to date.,0.5,0.5,0.0,0.85,0.15,0.1513,112.09,4.0
28,tim gunn,https://i.pinimg.com/474x/0e/dd/1e/0edd1ec239bc7567c319649eec1f9a7f--womens-closet-tim-gunn.jpg,0edd1ec239bc7567c319649eec1f9a7f--womens-closet-tim-gunn.jpg,Tim Gunn,"Timothy M. Gunn, born July 29, 1953, is an American fashion consultant and television personality. He was on the faculty of Parsons The New School for Design from 1982 to 2007 and was chair of fashion design at the school from August 2000 to March 2007, after which he joined Liz Claiborne as its chief creative officer. He is well-known as on-air mentor to designers on the reality television program Project Runway. Gunn's popularity on Project Runway led to his spin-off show, Bravo's Tim Gunn's G",0.2121212121212121,0.4848484848484848,0.0,0.933,0.067,0.7184,58.11,12.32
29,tim gunn,https://i.pinimg.com/474x/ca/bc/9a/cabc9a56d45b5732f7293dd4f4daaadc--project-runway-dresses-leanne-marshall.jpg,cabc9a56d45b5732f7293dd4f4daaadc--project-runway-dresses-leanne-marshall.jpg,Leanne Marshall - Runway - Spring 2016 New York Fashion Week: The Shows,"A model walks the runway at the Leanne Marshall fashion show during Spring 2016 New York Fashion Week: The Shows at Art Beam on September 10, 2015 in New York City. on September 10, 2015 in New York City.",0.1363636363636363,0.4545454545454545,0.0,1.0,0.0,0.0,77.06,7.8
30,tim gunn,https://i.pinimg.com/474x/2e/9b/dd/2e9bdd5392497d37e499a005b6a131cb--plus-size-model-project-runway.jpg,2e9bdd5392497d37e499a005b6a131cb--plus-size-model-project-runway.jpg,First look: Project Runway's Ashley Nell Tipton brings plus-sized style to JCPenney,"And she doesn't care what you call it, as long as it fits.",-0.05,0.4,0.18,0.82,0.0,-0.3875,100.58,5.2
31,tim gunn,https://i.pinimg.com/474x/d5/43/0c/d5430c097238d8c609e4abf05a401b92--project-runway-tim-gunn.jpg,d5430c097238d8c609e4abf05a401b92--project-runway-tim-gunn.jpg,The Knot - Your Personal Wedding Planner,"Everything you need to plan your wedding, literally! Wedding dresses, planning tools, wedding ideas, inspiration, photos, plus the best wedding vendors.",1.0,0.3,0.0,0.707,0.293,0.8356,43.9,8.01
32,tim gunn,https://i.pinimg.com/474x/e9/b5/69/e9b569c1e310f1e796d248d358afa0ee--magazine-articles-time-magazine.jpg,e9b569c1e310f1e796d248d358afa0ee--magazine-articles-time-magazine.jpg,10 Questions for Tim Gunn,"The host of Tim Gunn's Guide to Style mentors young designers in a new season of Project Runway, debuting July 16. Tim Gunn will now take your questions",0.1181818181818181,0.4272727272727272,0.0,1.0,0.0,0.0,82.65,8.46
33,tim gunn,https://i.pinimg.com/474x/8a/87/d0/8a87d0e07d551a24959fd9e8dfa63067--tim-gunn-project-runway.jpg,8a87d0e07d551a24959fd9e8dfa63067--tim-gunn-project-runway.jpg,Poor Thang: Tim Gunn Of Project Runway Hasn’t Had Sex In 29 Years,29 years?!?!?!,0.0,0.0,0.0,1.0,0.0,0.0,120.21,0.8
